model_id,experiment,access,utterance,fit_status,alpha_hat,at_alpha_min_boundary,at_alpha_max_boundary,objective_value,objective,num_alpha_grid_points
Qwen--Qwen3.5-0.8B,exps_numerical,1,1,ok,0.1,1,0,6.0707670621963015,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_numerical,2,1,ok,0.1,1,0,9.288090072064684,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_numerical,2,2,ok,0.1,1,0,6.0707670621963015,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_numerical,3,1,ok,0.1,1,0,9.288090072064684,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_numerical,3,2,ok,0.1,1,0,2.939780942151118,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_numerical,3,3,ok,0.1,1,0,0.0,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_some,1,some,ok,0.1,1,0,15.246433629347008,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_some,2,some,ok,0.1,1,0,12.573057233070275,kl_obs_to_rsa,80
Qwen--Qwen3.5-0.8B,exps_some,3,some,ok,0.1,1,0,6.0707670621963015,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_numerical,1,1,ok,1.5,0,0,0.9363774903660561,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_numerical,2,1,ok,0.1,1,0,0.3825205570449893,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_numerical,2,2,ok,0.1,1,0,1.4833399686690485,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_numerical,3,1,ok,1.4,0,0,0.028573372419994674,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_numerical,3,2,ok,0.1,1,0,0.3641872018880637,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_numerical,3,3,ok,1.4,0,0,0.020619287178996408,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_some,1,some,ok,2.2,0,0,0.0026046262009123133,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_some,2,some,ok,0.2,0,0,0.6955821734709468,kl_obs_to_rsa,80
Qwen--Qwen3.5-2B,exps_some,3,some,ok,0.1,1,0,0.553649105187282,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_numerical,1,1,ok,1.4,0,0,0.24979563296094046,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_numerical,2,1,ok,0.1,1,0,0.03674885559257063,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_numerical,2,2,ok,0.1,1,0,3.0875708507485164,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_numerical,3,1,ok,0.1,1,0,13.418769293818764,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_numerical,3,2,ok,1.5,0,0,0.0,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_numerical,3,3,ok,1.3,0,0,0.0,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_some,1,some,ok,8.0,0,1,0.4075916933785682,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_some,2,some,ok,8.0,0,1,0.32633370702595005,kl_obs_to_rsa,80
Qwen--Qwen3.5-4B,exps_some,3,some,ok,1.4,0,0,0.1981725237709844,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_numerical,1,1,ok,1.5,0,0,0.4758814620981482,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_numerical,2,1,ok,0.1,1,0,0.13532733450814083,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_numerical,2,2,ok,0.1,1,0,2.5757994594112303,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_numerical,3,1,ok,0.2,0,0,0.10592177734485791,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_numerical,3,2,ok,1.4,0,0,0.0,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_numerical,3,3,ok,1.3,0,0,0.0,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_some,1,some,ok,8.0,0,1,0.1271764789341599,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_some,2,some,ok,7.8,0,0,0.43854436363621224,kl_obs_to_rsa,80
Qwen--Qwen3.5-9B,exps_some,3,some,ok,0.1,1,0,0.03738899147545677,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_numerical,1,1,ok,1.5,0,0,0.5489139682055755,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_numerical,2,1,ok,0.1,1,0,0.04345631443941986,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_numerical,2,2,ok,0.1,1,0,0.5080973770039001,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_numerical,3,1,ok,0.2,0,0,0.15012730826550852,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_numerical,3,2,ok,0.2,0,0,0.03793915937450432,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_numerical,3,3,ok,1.4,0,0,0.010920545323552416,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_some,1,some,ok,0.1,1,0,0.3909559129764625,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_some,2,some,ok,8.0,0,1,0.0643800823661983,kl_obs_to_rsa,80
gemini-3.1-flash-lite-preview,exps_some,3,some,ok,1.3,0,0,0.06200273526576611,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_numerical,1,1,ok,0.1,1,0,0.05388794961911281,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_numerical,2,1,ok,0.1,1,0,0.2661969593551741,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_numerical,2,2,ok,0.1,1,0,0.4708386299466919,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_numerical,3,1,ok,0.1,1,0,0.5628560243702614,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_numerical,3,2,ok,0.1,1,0,0.7253263108350614,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_numerical,3,3,ok,0.1,1,0,0.7741088900456281,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_some,1,some,ok,0.1,1,0,0.15162354517152235,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_some,2,some,ok,0.1,1,0,0.14717484722145657,kl_obs_to_rsa,80
google--gemma-3-4b-it,exps_some,3,some,ok,0.1,1,0,0.19783709433627544,kl_obs_to_rsa,80
gpt-5.4-mini,exps_numerical,1,1,ok,1.5,0,0,0.6574811420968727,kl_obs_to_rsa,80
gpt-5.4-mini,exps_numerical,2,1,ok,0.1,1,0,0.007957180605431591,kl_obs_to_rsa,80
gpt-5.4-mini,exps_numerical,2,2,ok,0.1,1,0,0.7563812276344777,kl_obs_to_rsa,80
gpt-5.4-mini,exps_numerical,3,1,ok,0.1,1,0,0.09869722383004689,kl_obs_to_rsa,80
gpt-5.4-mini,exps_numerical,3,2,ok,0.1,1,0,0.05794218932520317,kl_obs_to_rsa,80
gpt-5.4-mini,exps_numerical,3,3,ok,0.1,1,0,0.02065707789962154,kl_obs_to_rsa,80
gpt-5.4-mini,exps_some,1,some,ok,0.1,1,0,0.30756872471914104,kl_obs_to_rsa,80
gpt-5.4-mini,exps_some,2,some,ok,0.1,1,0,0.406055218128337,kl_obs_to_rsa,80
gpt-5.4-mini,exps_some,3,some,ok,0.1,1,0,0.07989264925185609,kl_obs_to_rsa,80
gpt-5.4-nano,exps_numerical,1,1,ok,1.5,0,0,0.11940479043385605,kl_obs_to_rsa,80
gpt-5.4-nano,exps_numerical,2,1,ok,0.1,1,0,0.10726466527025473,kl_obs_to_rsa,80
gpt-5.4-nano,exps_numerical,2,2,ok,0.1,1,0,0.7409297489200206,kl_obs_to_rsa,80
gpt-5.4-nano,exps_numerical,3,1,ok,0.1,1,0,0.46428470465746763,kl_obs_to_rsa,80
gpt-5.4-nano,exps_numerical,3,2,ok,0.1,1,0,0.11201083454481853,kl_obs_to_rsa,80
gpt-5.4-nano,exps_numerical,3,3,ok,0.2,0,0,0.03413399075977967,kl_obs_to_rsa,80
gpt-5.4-nano,exps_some,1,some,ok,0.1,1,0,0.3006160283952959,kl_obs_to_rsa,80
gpt-5.4-nano,exps_some,2,some,ok,8.0,0,1,0.06896636326566351,kl_obs_to_rsa,80
gpt-5.4-nano,exps_some,3,some,ok,0.1,1,0,0.03191051089716086,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,1,1,ok,0.1,1,0,0.0,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,2,1,ok,0.1,1,0,0.0,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,2,2,ok,0.1,1,0,10.379396779362162,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,1,ok,0.1,1,0,0.0,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,2,ok,0.1,1,0,7.2327152843539695,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,3,ok,0.1,1,0,0.0,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_some,1,some,ok,0.1,1,0,0.0,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_some,2,some,ok,0.1,1,0,2.015749109937885,kl_obs_to_rsa,80
meta-llama--Llama-3.1-8B-Instruct,exps_some,3,some,ok,0.1,1,0,0.0,kl_obs_to_rsa,80
